age	Unnamed: 0	Unnamed: 0.1	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	#parent_noun	#parent_determiner	#past	#present	#perfect	#untensed	age	%pronouns	%error	%verb	%noun	%verb_tensed	%determiner	%parent_pronouns	%parent_verb	%parent_noun	%parent_determiner
32	251	251	3.810710877862596	860	133	91	0	126	78	29	0.28462908687952443	60	13	15	1	0	4	2	7	0	3	1	27	713	87	29	0	89	76	35	32	16	4	74	32	0.1058139534883721	0.0	0.14651162790697675	0.09069767441860466	0.4126984126984127	0.03372093023255814	0.04067321178120617	0.12482468443197756	0.10659186535764376	0.04908835904628331
33	127	127	4.0355731225296445	1006	148	81	0	152	102	28	0.18171846435100547	52	13	25	4	0	3	1	7	1	0	0	42	1241	158	69	1	166	131	42	28	20	5	99	33	0.0805168986083499	0.0	0.15109343936381708	0.10139165009940358	0.34868421052631576	0.027833001988071572	0.055600322320709106	0.13376309427880742	0.10556003223207092	0.03384367445608381
36	917	917	3.154819822665909	1370	136	109	3	154	140	43	0.4312963285341905	79	7	20	3	0	6	0	14	0	0	0	7	1340	147	73	0	141	146	66	25	16	4	109	36	0.07956204379562044	0.027522935779816515	0.11240875912408758	0.10218978102189781	0.2922077922077922	0.031386861313868614	0.05447761194029851	0.10522388059701493	0.10895522388059702	0.049253731343283584
37	546	546	3.9619448815455893	838	88	54	1	109	84	26	0.3438664953543456	25	13	15	8	0	1	2	2	1	2	0	19	863	98	46	0	102	99	53	16	10	2	81	37	0.06443914081145585	0.018518518518518517	0.13007159904534607	0.10023866348448687	0.25688073394495414	0.031026252983293555	0.05330243337195829	0.11819235225955968	0.11471610660486674	0.06141367323290846
38	420	420	4.579101889543579	2379	285	231	0	336	245	101	0.20699820498379654	147	29	29	7	5	10	7	15	1	5	5	25	3208	381	175	2	385	373	179	90	47	11	188	38	0.09709962168978563	0.0	0.14123581336696092	0.10298444724674233	0.44047619047619047	0.042454812946616224	0.05455112219451372	0.12001246882793018	0.11627182044887781	0.05579800498753117
39	143	143	4.597911227154047	1668	261	207	0	273	144	70	0.1554155415541554	54	15	37	92	29	6	3	5	0	0	3	17	985	145	93	0	146	93	39	56	31	6	180	39	0.12410071942446044	0.0	0.16366906474820145	0.08633093525179857	0.34065934065934067	0.04196642685851319	0.09441624365482233	0.14822335025380712	0.09441624365482233	0.03959390862944162
40	431	431	3.3366566473335872	1118	139	81	0	138	93	39	0.280308844054396	53	15	29	5	0	4	2	2	0	0	0	29	1117	136	46	0	123	118	58	30	27	9	72	40	0.07245080500894455	0.0	0.12343470483005367	0.08318425760286226	0.4782608695652174	0.03488372093023256	0.04118173679498657	0.11011638316920322	0.10564010743061773	0.051924798567591766
41	293	293	3.7092146714671475	749	90	72	0	95	91	32	0.2573497545485347	50	13	5	2	1	0	2	3	0	0	1	13	1130	129	49	0	124	135	60	13	7	0	75	41	0.09612817089452604	0.0	0.1268357810413885	0.12149532710280374	0.21052631578947367	0.042723631508678236	0.04336283185840708	0.10973451327433628	0.11946902654867257	0.05309734513274336
42	750	750	4.334054740749757	6849	780	548	5	867	690	220	0.20369024948670558	237	35	116	50	11	78	46	52	3	20	16	116	1671	208	110	1	200	168	75	217	127	48	475	42	0.08001168053730472	0.009124087591240875	0.12658782303985983	0.10074463425317565	0.45213379469434833	0.032121477587969044	0.06582884500299221	0.11968880909634949	0.10053859964093358	0.04488330341113106
43	3078	3078	4.360184815687044	9727	1236	788	1	1170	869	310	0.36594736736796224	367	71	226	108	26	50	32	106	6	8	14	222	6423	863	348	2	793	684	277	238	148	36	748	43	0.08101161714814434	0.0012690355329949238	0.12028374627326	0.0893389534286008	0.3606837606837607	0.03187005243137658	0.0541802895843064	0.12346255643780166	0.10649229332087809	0.043126264985209405
