	fileid	age	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	#parent_noun	#parent_determiner
51	Bates/Free28/paula28.xml	28	3.022727272727273	212	3	1	0	43	9	0	0.24279835390946503	1	0	1	0	0	0	0	0	0	0	0	1	274	32	16	1	33	18	12
52	Bates/Free28/paulast.xml	28	2.0384615384615383	125	3	1	0	5	26	5	0.25618374558303886	0	0	2	0	0	0	1	0	0	0	0	0	395	47	30	0	44	53	30
53	Bates/Free28/pete.xml	28	3.0588235294117645	59	12	6	0	6	9	1	0.32171581769436997	6	0	0	0	0	0	0	0	0	0	0	6	286	30	10	0	46	34	6
54	Bates/Free28/pete28.xml	28	2.380952380952381	55	3	2	0	6	13	2	0.30103092783505153	2	0	0	0	0	0	0	0	0	0	0	1	430	37	25	1	49	80	33
55	Bates/Free28/petest.xml	28	3.5	42	4	3	0	4	8	1	0.39892183288409705	0	0	0	2	0	1	0	0	0	0	0	1	216	20	15	0	19	32	15
56	Bates/Free28/rick.xml	28	2.5384615384615383	47	2	2	0	1	12	0	0.43137254901960786	2	0	0	0	0	0	0	0	0	0	0	0	141	22	4	0	20	10	3
57	Bates/Free28/rick28.xml	28	1.7619047619047619	43	1	1	1	6	6	0	0.5043859649122807	0	1	0	0	0	0	0	0	0	0	0	0	185	20	8	0	25	20	9
58	Bates/Free28/rickst.xml	28	1.875	20	0	0	0	0	10	0	0.6091954022988506	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	1	6	4
59	Bates/Free28/ruth.xml	28	2.392857142857143	73	8	4	0	6	6	0	0.391812865497076	2	0	2	2	0	0	0	0	0	0	0	2	269	29	5	0	36	31	8
60	Bates/Free28/ruth28.xml	28	2.738095238095238	152	3	3	0	15	19	1	0.2674825174825175	1	0	0	0	0	0	0	0	0	2	0	0	420	40	22	0	58	47	24
61	Bates/Free28/ruthst.xml	28	2.0	74	1	0	0	3	17	3	0.32270916334661354	0	0	1	0	0	0	0	0	0	0	0	0	407	32	26	0	40	59	28
62	Bates/Free28/steve.xml	28	2.911111111111111	153	29	22	0	16	7	0	0.29411764705882354	19	1	2	1	0	0	0	0	0	0	1	5	527	83	29	0	88	40	25
63	Bates/Free28/steve28.xml	28	2.9047619047619047	81	8	6	0	8	11	6	0.3268765133171913	6	0	0	0	0	0	0	0	0	0	0	2	332	19	7	0	48	47	24
64	Bates/Free28/stevest.xml	28	3.275	132	10	5	0	14	30	2	0.30751708428246016	2	0	0	3	0	0	0	0	0	0	0	5	292	17	11	0	27	44	25
65	Bates/Free28/sue.xml	28	2.1538461538461537	33	3	2	0	3	5	0	0.4	2	0	0	0	0	0	0	0	0	0	0	1	152	19	0	0	18	22	3
66	Bates/Free28/sue28.xml	28	1.3333333333333333	45	1	0	0	4	1	1	0.3634085213032581	0	0	0	0	0	0	0	0	0	0	0	1	354	58	11	0	60	20	15
67	Bates/Free28/suest.xml	28	3.3255813953488373	140	13	11	0	6	37	18	0.31048387096774194	2	0	0	3	0	3	3	0	0	0	0	2	341	47	33	0	37	42	21
68	Bates/Free28/tom.xml	28	3.085714285714286	148	16	14	0	12	16	4	0.35967302452316074	14	0	1	0	0	0	0	0	0	0	0	1	219	13	2	0	21	28	6
69	Bates/Free28/tom28.xml	28	2.4464285714285716	165	5	4	0	29	26	3	0.3392857142857143	3	1	1	0	0	0	0	0	0	0	0	0	283	24	5	0	37	41	18
70	Bates/Free28/tomst.xml	28	4.107142857142857	116	26	25	0	16	13	6	0.3333333333333333	0	0	0	14	8	3	0	0	0	0	0	1	210	15	11	0	25	14	13
71	Bates/Free28/vicki.xml	28	2.2142857142857144	32	0	0	0	4	8	0	0.3821656050955414	0	0	0	0	0	0	0	0	0	0	0	0	282	49	20	0	34	33	6
72	Bates/Free28/vicki28.xml	28	1.368421052631579	34	2	1	0	3	4	0	0.26903553299492383	1	0	0	0	0	0	0	0	0	0	0	1	557	51	35	0	89	83	64
73	Bates/Free28/wanda.xml	28	3.658536585365854	165	25	11	0	15	10	1	0.33557046979865773	9	0	12	0	0	1	1	0	0	0	0	2	282	31	10	0	35	32	16
74	Bates/Free28/wanda28.xml	28	3.9743589743589745	166	8	3	0	24	24	9	0.3316062176165803	2	0	1	0	0	0	0	1	0	0	0	4	220	13	3	0	33	26	15
75	Bates/Free28/wandast.xml	28	4.108108108108108	154	13	10	0	29	32	15	0.3136094674556213	6	1	1	2	0	0	1	0	0	0	0	2	281	25	16	0	41	33	26
76	Bates/Free28/will.xml	28	2.3548387096774195	82	4	1	0	4	24	5	0.3597122302158273	1	0	0	0	0	0	0	0	0	0	0	3	311	28	5	0	33	43	11
77	Bates/Free28/will28.xml	28	2.215686274509804	142	4	1	0	14	19	5	0.2396039603960396	0	0	0	0	0	0	0	0	0	0	1	3	363	33	11	0	47	33	19
78	Bates/Free28/willst.xml	28	2.3260869565217392	131	6	3	0	6	37	15	0.29	1	0	0	1	0	0	1	0	0	0	0	3	463	41	32	0	48	48	27
79	Bates/Free28/zeke.xml	28	3.3333333333333335	51	0	0	0	5	13	2	0.4885057471264368	0	0	0	0	0	0	0	0	0	0	0	0	123	7	1	0	12	24	10
80	Bates/Free28/zeke28.xml	28	3.6	96	6	6	1	21	19	4	0.33729216152019004	3	2	0	1	0	0	0	0	0	0	0	0	325	15	10	0	38	58	36
81	Bates/Free28/zekest.xml	28	2.1379310344827585	65	4	4	0	6	18	5	0.3737704918032787	1	0	0	0	0	2	1	0	0	0	0	0	235	16	13	0	27	42	23
