,Unnamed: 0,fileid,age,mlu,#words,#pronouns,#cased_pronoun,#errors,#verb,#noun,#determiner,richness,#I,#me,#you,#he,#him,#she,#her,#we,#us,#they,#them,#it,#parentwords,#parentpronouns,parentcased_pronouns,parenterrors,#parent_verb,#parent_noun,#parent_determiner,#past,#present,#perfect,#untensed
43,43,Bates/Free28/mandy ,28,3.25,200,6,1,0,20,38,13,0.363636364,0,1,1,0,0,0,0,0,0,0,0,4,174,18,14,0,21,15,5,1,4,0,15
44,44,Bates/Free28/nan ,28,3.625,116,3,2,0,9,27,8,0.264931087,0,0,0,2,0,0,0,0,0,0,0,1,537,83,40,0,94,79,37,2,0,0,7
45,45,Bates/Free28/nan ,28,3.464285714,212,8,4,0,23,8,2,0.229793978,1,1,1,0,0,0,0,1,0,1,0,3,419,43,26,0,50,32,18,5,3,3,12
46,46,Bates/Free28/nan ,28,2.392857143,157,5,4,0,13,40,6,0.250617284,0,0,0,1,0,3,0,0,0,0,0,1,590,69,47,0,77,68,33,0,2,0,11
47,47,Bates/Free28/olivia ,28,2.823529412,93,9,5,0,9,16,1,0.33481153,4,1,3,0,0,0,0,0,0,0,0,1,321,44,13,0,37,34,15,0,1,0,8
48,48,Bates/Free28/olivia ,28,3,102,8,7,0,8,22,4,0.327380952,2,0,0,0,0,3,1,0,0,1,0,1,402,34,22,0,44,68,38,0,0,0,8
49,49,Bates/Free28/olivia ,28,2.911111111,137,22,22,0,23,18,8,0.237521515,14,0,0,3,0,3,2,0,0,0,0,0,409,55,40,0,59,29,24,3,2,0,18
50,50,Bates/Free28/paula ,28,2.555555556,57,9,2,0,7,8,0,0.335917313,1,1,2,0,0,0,0,0,0,0,0,5,326,57,18,0,50,44,11,1,0,0,6
51,51,Bates/Free28/paula ,28,3.022727273,212,3,1,0,43,9,0,0.242798354,1,0,1,0,0,0,0,0,0,0,0,1,274,32,16,1,33,18,12,4,0,0,39
52,52,Bates/Free28/paula ,28,2.038461538,125,3,1,0,9,26,5,0.256183746,0,0,2,0,0,0,1,0,0,0,0,0,395,47,30,0,44,53,30,5,4,0,0
53,53,Bates/Free28/pete ,28,3.058823529,59,12,6,0,6,9,1,0.321715818,6,0,0,0,0,0,0,0,0,0,0,6,286,30,10,0,46,34,6,0,0,0,6
54,54,Bates/Free28/pete ,28,2.380952381,55,3,2,0,6,13,2,0.301030928,2,0,0,0,0,0,0,0,0,0,0,1,430,37,25,1,49,80,33,0,0,0,6
55,55,Bates/Free28/pete ,28,3.5,42,4,3,0,7,8,1,0.398921833,0,0,0,2,0,1,0,0,0,0,0,1,216,20,15,0,19,32,15,0,3,0,4
56,56,Bates/Free28/rick ,28,2.538461538,47,2,2,0,1,12,0,0.431372549,2,0,0,0,0,0,0,0,0,0,0,0,141,22,4,0,20,10,3,0,0,0,1
57,57,Bates/Free28/rick ,28,1.761904762,43,1,1,1,7,6,0,0.504385965,0,1,0,0,0,0,0,0,0,0,0,0,185,20,8,0,25,20,9,0,1,0,6
58,58,Bates/Free28/rick ,28,1.875,20,0,0,0,0,10,0,0.609195402,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,1,6,4,0,0,0,0
59,59,Bates/Free28/ruth ,28,2.392857143,73,8,4,0,16,6,0,0.391812865,2,0,2,2,0,0,0,0,0,0,0,2,269,29,5,0,36,31,8,1,10,1,4
60,60,Bates/Free28/ruth ,28,2.738095238,152,3,3,0,19,19,1,0.267482517,1,0,0,0,0,0,0,0,0,2,0,0,420,40,22,0,58,47,24,0,4,0,15
61,61,Bates/Free28/ruth ,28,2,74,1,0,0,8,17,3,0.322709163,0,0,1,0,0,0,0,0,0,0,0,0,407,32,26,0,40,59,28,0,5,0,3
62,62,Bates/Free28/steve ,28,2.911111111,153,29,22,0,20,7,0,0.294117647,19,1,2,1,0,0,0,0,0,0,1,5,527,83,29,0,88,40,25,2,4,1,13
63,63,Bates/Free28/steve ,28,2.904761905,81,8,6,0,8,11,6,0.326876513,6,0,0,0,0,0,0,0,0,0,0,2,332,19,7,0,48,47,24,0,0,0,8
64,64,Bates/Free28/steve ,28,3.275,132,10,5,0,22,30,2,0.307517084,2,0,0,3,0,0,0,0,0,0,0,5,292,17,11,0,27,44,25,2,8,2,10
65,65,Bates/Free28/sue ,28,2.153846154,33,3,2,0,3,5,0,0.4,2,0,0,0,0,0,0,0,0,0,0,1,152,19,0,0,18,22,3,1,0,0,2
66,66,Bates/Free28/sue ,28,1.333333333,45,1,0,0,4,1,1,0.363408521,0,0,0,0,0,0,0,0,0,0,0,1,354,58,11,0,60,20,15,0,0,0,4
67,67,Bates/Free28/sue ,28,3.325581395,140,13,11,0,11,37,18,0.310483871,2,0,0,3,0,3,3,0,0,0,0,2,341,47,33,0,37,42,21,2,5,0,4
68,68,Bates/Free28/tom ,28,3.085714286,148,16,14,0,13,16,4,0.359673025,14,0,1,0,0,0,0,0,0,0,0,1,219,13,2,0,21,28,6,1,1,1,10
69,69,Bates/Free28/tom ,28,2.446428571,165,5,4,0,36,26,3,0.339285714,3,1,1,0,0,0,0,0,0,0,0,0,283,24,5,0,37,41,18,1,7,0,28
70,70,Bates/Free28/tom ,28,4.107142857,116,26,25,0,26,13,6,0.333333333,0,0,0,14,8,3,0,0,0,0,0,1,210,15,11,0,25,14,13,12,10,5,-1
71,71,Bates/Free28/vicki ,28,2.214285714,32,0,0,0,4,8,0,0.382165605,0,0,0,0,0,0,0,0,0,0,0,0,282,49,20,0,34,33,6,0,0,0,4
72,72,Bates/Free28/vicki ,28,1.368421053,34,2,1,0,3,4,0,0.269035533,1,0,0,0,0,0,0,0,0,0,0,1,557,51,35,0,89,83,64,0,0,0,3
73,73,Bates/Free28/wanda ,28,3.658536585,165,25,11,0,26,10,1,0.33557047,9,0,12,0,0,1,1,0,0,0,0,2,282,31,10,0,35,32,16,3,11,1,11
74,74,Bates/Free28/wanda ,28,3.974358974,166,8,3,0,26,24,9,0.331606218,2,0,1,0,0,0,0,1,0,0,0,4,220,13,3,0,33,26,15,0,2,0,24
75,75,Bates/Free28/wanda ,28,4.108108108,154,13,10,0,34,32,15,0.313609467,6,1,1,2,0,0,1,0,0,0,0,2,281,25,16,0,41,33,26,7,5,0,22
76,76,Bates/Free28/will ,28,2.35483871,82,4,1,0,4,24,5,0.35971223,1,0,0,0,0,0,0,0,0,0,0,3,311,28,5,0,33,43,11,1,0,0,3
77,77,Bates/Free28/will ,28,2.215686275,142,4,1,0,14,19,5,0.23960396,0,0,0,0,0,0,0,0,0,0,1,3,363,33,11,0,47,33,19,0,0,0,14
78,78,Bates/Free28/will ,28,2.326086957,131,6,3,0,8,37,15,0.29,1,0,0,1,0,0,1,0,0,0,0,3,463,41,32,0,48,48,27,0,2,0,6
79,79,Bates/Free28/zeke ,28,3.333333333,51,0,0,0,6,13,2,0.488505747,0,0,0,0,0,0,0,0,0,0,0,0,123,7,1,0,12,24,10,0,1,0,5
80,80,Bates/Free28/zeke ,28,3.6,96,6,6,1,22,19,4,0.337292162,3,2,0,1,0,0,0,0,0,0,0,0,325,15,10,0,38,58,36,0,1,0,21
81,81,Bates/Free28/zeke ,28,2.137931034,65,4,4,0,8,18,5,0.373770492,1,0,0,0,0,2,1,0,0,0,0,0,235,16,13,0,27,42,23,0,2,0,6
