,Unnamed: 0,file,age,mlu,#words,#pronouns,#cased_pronoun,#errors,#verb,#noun,#determiner,richness,#I,#me,#you,#he,#him,#she,#her,#we,#us,#they,#them,#it,#parentwords,#parentpronouns,parentcased_pronouns,parenterrors,#parent_verb,#parent_noun,#parent_determiner,#past,#present,#perfect,#untensed
172,172,HSLLD/HV1/kar,45,4.464285714,143,28,27,0,25,18,3,0.363333333,21,2,0,0,0,1,0,3,0,0,0,1,87,15,4,0,15,2,0,7,1,1,16
173,173,HSLLD/HV1/kar,45,2.789473684,242,18,9,0,25,25,13,0.226575809,3,2,6,1,0,0,0,0,0,2,1,3,785,106,49,0,113,58,26,2,2,0,21
174,174,HSLLD/HV1/kev,46,1.977272727,103,12,11,0,9,22,1,0.281771133,11,0,0,0,0,0,0,0,0,0,0,1,1546,175,93,0,213,244,119,0,0,0,9
175,175,HSLLD/HV1/kev,46,2.555555556,34,4,4,0,3,4,1,0.423580786,2,0,0,0,0,1,0,0,0,0,1,0,195,28,5,0,32,23,8,1,0,0,2
176,176,HSLLD/HV1/kev,46,3.957446809,192,23,17,0,27,17,6,0.274261603,13,2,4,1,0,0,0,0,0,0,1,2,678,74,13,0,99,93,23,2,4,2,19
177,177,HSLLD/HV1/kev,46,3.125,114,10,6,0,14,10,9,0.383802817,2,1,0,0,0,0,0,0,0,2,1,4,449,55,22,0,60,67,28,0,2,0,12
178,178,HSLLD/HV1/kur,48,6.125,100,12,11,0,9,11,7,0.28222109,5,0,0,1,0,0,0,0,0,5,0,1,1617,144,106,0,176,316,154,1,1,0,7
179,179,HSLLD/HV1/kur,48,6.666666667,147,20,16,0,22,21,10,0.336099585,9,0,0,0,0,0,0,6,0,1,0,4,160,22,17,0,21,18,8,9,2,1,10
180,180,HSLLD/HV1/kur,48,4.957983193,587,100,55,0,93,56,20,0.211042945,30,10,17,3,0,2,3,5,1,1,0,28,983,108,38,0,144,112,32,15,22,6,50
181,181,HSLLD/HV1/kur,48,4.172661871,571,54,29,0,83,53,23,0.202191781,19,3,7,0,0,0,0,5,0,1,1,18,1012,109,43,0,147,112,61,5,10,1,67
182,182,HSLLD/HV1/mar,50,1,5,0,0,0,0,0,0,0.335064935,0,0,0,0,0,0,0,0,0,0,0,0,1490,128,92,0,167,301,160,0,0,0,0
183,183,HSLLD/HV1/mar,50,2.806451613,102,14,14,0,12,12,2,0.307888041,4,5,0,1,0,0,0,4,0,0,0,0,286,44,13,0,38,30,13,1,0,0,11
184,184,HSLLD/HV1/mar,50,1.3,19,0,0,0,0,2,0,0.333976834,0,0,0,0,0,0,0,0,0,0,0,0,433,41,10,0,63,51,23,0,0,0,0
185,185,HSLLD/HV1/may,47,2.336134454,323,18,12,0,15,86,39,0.202813067,2,4,0,4,0,0,0,0,0,0,2,6,1878,133,107,0,225,351,202,4,2,2,7
186,186,HSLLD/HV1/may,47,3.34,172,13,7,0,15,42,12,0.284467714,1,0,2,0,0,0,0,5,0,1,0,4,393,49,15,0,52,42,19,5,2,0,8
187,187,HSLLD/HV1/may,47,3.138121547,570,56,44,0,50,107,15,0.169684211,27,8,6,1,0,2,0,6,0,0,0,6,1454,148,43,1,177,198,51,10,4,1,35
188,188,HSLLD/HV1/may,47,3.34375,360,14,9,0,29,57,42,0.240328253,1,1,2,2,0,4,1,0,0,0,0,3,424,58,11,0,40,39,24,2,7,0,20
189,189,HSLLD/HV1/meg,49,2.301587302,169,12,10,0,10,39,20,0.24246271,2,0,1,1,0,5,2,0,0,0,0,1,2850,282,216,0,303,440,239,4,0,0,6
190,190,HSLLD/HV1/meg,49,3.8,80,7,6,0,7,16,9,0.38658147,2,0,1,0,0,0,0,0,0,4,0,0,223,32,7,0,30,31,17,2,1,1,3
191,191,HSLLD/HV1/meg,49,4.971751412,893,125,94,1,127,91,42,0.226095148,67,8,12,3,1,3,2,3,1,5,1,19,879,110,46,0,119,95,40,28,14,1,84
192,192,HSLLD/HV1/meg,49,4.119341564,1063,115,62,0,147,112,49,0.153607928,42,4,28,0,0,0,0,7,2,6,1,25,1974,237,82,2,263,245,122,21,15,2,109
