	Unnamed: 0	Unnamed: 0.1	file	age	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	#parent_noun	#parent_determiner	#past	#present	#perfect	#untensed	%pronouns	%error	%verb	%tensed_verb	%noun	%determiner	%parent_pronouns	%parent_verb	%parent_noun	%parent_determiner
13	13	13	NewEngland/32/29.xml	29	2.943661971830986	254	23	20	0	49	35	8	0.2412213740458015	15	0	0	3	0	0	0	1	0	1	0	3	393	47	12	0	54	43	25	15	6	6	22	0.07874015748031496	0.0	0.19291338582677164	0.5510204081632653	0.1377952755905512	0.031496062992125984	0.030534351145038167	0.13740458015267176	0.10941475826972011	0.06361323155216285
14	14	14	NewEngland/32/30.xml	32	3.7154471544715446	466	53	36	0	43	60	33	0.2061433447098976	15	1	12	11	1	0	3	0	0	3	2	5	999	132	71	1	113	128	58	3	8	1	31	0.07725321888412018	0.0	0.09227467811158799	0.27906976744186046	0.12875536480686695	0.07081545064377683	0.07107107107107107	0.11311311311311312	0.12812812812812813	0.05805805805805806
16	16	16	NewEngland/32/36.xml	31	3.3584905660377364	203	18	12	0	15	24	14	0.19811320754716985	8	1	0	1	1	0	0	0	0	1	0	6	1174	109	56	0	159	183	106	1	0	0	14	0.059113300492610835	0.0	0.07389162561576355	0.06666666666666667	0.11822660098522167	0.06896551724137931	0.04770017035775128	0.1354344122657581	0.15587734241908008	0.09028960817717206
17	17	17	NewEngland/32/38.xml	32	3.14179104477612	415	42	36	6	49	67	39	0.2069364161849711	10	2	3	0	20	0	3	0	0	1	0	3	1315	165	71	0	153	158	75	6	12	0	31	0.08674698795180723	0.16666666666666666	0.1180722891566265	0.3673469387755102	0.1614457831325301	0.09397590361445783	0.05399239543726236	0.11634980988593156	0.12015209125475285	0.057034220532319393
18	18	18	NewEngland/32/43.xml	30	4.25	442	39	28	0	57	67	31	0.206291591046582	11	2	4	14	1	0	0	0	0	0	0	7	1211	111	51	1	152	192	112	6	17	2	32	0.06334841628959276	0.0	0.12895927601809956	0.43859649122807015	0.1515837104072398	0.07013574660633484	0.042113955408753095	0.1255161023947151	0.15854665565648224	0.09248554913294797
20	20	20	NewEngland/32/47.xml	32	2.8173076923076925	321	49	43	0	16	78	26	0.2135483870967742	3	0	0	7	0	2	30	0	0	1	0	6	1229	135	56	0	127	155	85	4	4	2	6	0.13395638629283488	0.0	0.04984423676012461	0.625	0.24299065420560748	0.08099688473520249	0.045565500406834825	0.10333604556550041	0.12611879576891782	0.0691619202603743
21	21	21	NewEngland/32/49.xml	30	3.21505376344086	298	26	21	0	32	66	20	0.25935828877005346	14	0	2	1	0	0	0	0	0	4	2	3	824	81	40	2	109	124	45	0	4	0	28	0.07046979865771812	0.0	0.10738255033557047	0.125	0.2214765100671141	0.06711409395973154	0.04854368932038835	0.13228155339805825	0.15048543689320387	0.05461165048543689
23	23	23	NewEngland/32/57.xml	32	5.769230769230767	351	25	24	0	44	47	23	0.1961620469083156	11	0	0	1	1	0	0	0	0	1	10	1	1056	113	53	0	143	121	58	2	16	2	24	0.06837606837606838	0.0	0.12535612535612536	0.45454545454545453	0.1339031339031339	0.06552706552706553	0.050189393939393936	0.13541666666666666	0.11458333333333333	0.054924242424242424
24	24	24	NewEngland/32/59.xml	30	2.8613861386138613	375	36	24	0	40	62	11	0.22024623803009571	14	1	6	1	8	0	0	0	0	0	0	6	1086	139	55	0	143	128	43	2	5	1	32	0.064	0.0	0.10666666666666667	0.2	0.16533333333333333	0.029333333333333333	0.05064456721915286	0.13167587476979742	0.11786372007366483	0.03959484346224678
25	25	25	NewEngland/32/60.xml	30	3.234375	617	108	79	0	87	89	22	0.1746031746031746	42	3	12	19	5	1	0	0	0	3	6	17	1395	158	68	0	182	201	91	7	4	0	76	0.1280388978930308	0.0	0.14100486223662884	0.12643678160919541	0.14424635332252836	0.03565640194489465	0.04874551971326165	0.13046594982078852	0.14408602150537633	0.06523297491039426
26	26	26	NewEngland/32/65.xml	29	3.5917431192660554	840	86	51	0	111	113	61	0.22430510665804784	28	3	25	13	2	0	0	1	0	3	1	10	703	75	39	0	92	87	47	11	6	0	94	0.060714285714285714	0.0	0.13214285714285715	0.15315315315315314	0.13452380952380952	0.07261904761904762	0.05547652916073969	0.13086770981507823	0.12375533428165007	0.06685633001422475
28	28	28	NewEngland/32/68.xml	32	4.82051282051282	398	49	33	0	53	48	16	0.2314347512617159	18	1	9	4	0	4	1	3	0	1	1	7	987	121	67	0	133	109	56	9	8	3	33	0.0829145728643216	0.0	0.13316582914572864	0.37735849056603776	0.12060301507537688	0.04020100502512563	0.06788247213779129	0.1347517730496454	0.11043566362715299	0.05673758865248227
32	32	32	NewEngland/32/90.xml	28	2.458333333333333	212	18	17	0	21	36	8	0.2571692876965773	15	0	1	1	1	0	0	0	0	0	0	0	869	79	36	1	108	149	89	1	0	0	20	0.08018867924528301	0.0	0.09905660377358491	0.047619047619047616	0.16981132075471697	0.03773584905660377	0.04142692750287687	0.12428078250863062	0.1714614499424626	0.10241657077100115
33	33	33	NewEngland/32/92.xml	29	4.504504504504505	524	48	35	0	57	75	19	0.2014672686230249	15	1	7	6	3	3	0	0	0	6	1	6	1247	120	78	2	139	223	82	3	6	0	48	0.06679389312977099	0.0	0.10877862595419847	0.15789473684210525	0.1431297709923664	0.03625954198473282	0.06255012028869286	0.11146752205292702	0.17882919005613473	0.06575781876503609
36	36	36	NewEngland/32/99.xml	27	2.2	228	22	16	0	22	32	7	0.2477522477522477	11	4	3	0	0	0	0	0	0	0	1	3	773	107	52	0	120	75	45	2	1	0	19	0.07017543859649122	0.0	0.09649122807017543	0.13636363636363635	0.14035087719298245	0.03070175438596491	0.06727037516170763	0.15523932729624837	0.09702457956015524	0.05821474773609314
