age	Unnamed: 0	Unnamed: 0.1	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	#parent_noun	#parent_determiner	#past	#present	#perfect	#untensed	age	%pronouns	%error	%verb	%noun	%verb_tensed	%determiner	%parent_pronouns	%parent_verb	%parent_noun	%parent_determiner
50	81	81	7.323844799005388	1966	250	166	0	269	291	110	0.15707309771403719	62	9	61	32	9	0	0	9	0	26	19	23	5246	654	388	1	697	613	211	56	32	6	175	50	0.0844354018311292	0.0	0.1368260427263479	0.14801627670396744	0.34944237918215615	0.05595116988809766	0.07396111322912695	0.13286313381624096	0.11685093404498666	0.04022112085398399
51	85	85	8.3974928814501	1878	224	134	0	243	236	125	0.1623734189087404	69	12	48	14	4	4	1	17	0	10	3	42	5545	732	348	1	746	676	280	74	30	11	128	51	0.07135250266240682	0.0	0.12939297124600638	0.12566560170394037	0.4732510288065844	0.06656017039403621	0.06275924256086564	0.1345356176735798	0.12191163210099189	0.05049594229035167
52	44	44	8.825	993	117	66	0	123	105	43	0.16071428571428573	23	3	32	20	2	0	0	3	0	9	6	19	2578	342	201	1	341	292	122	28	19	4	72	52	0.06646525679758308	0.0	0.12386706948640483	0.10574018126888217	0.4146341463414634	0.0433031218529708	0.07796741660201707	0.13227307990690457	0.11326609775019394	0.047323506594259115
53	91	91	6.856303418803419	1788	212	135	1	244	208	92	0.18457300933450047	64	11	38	26	6	0	1	6	2	13	6	39	4854	594	320	1	626	559	211	70	23	12	139	53	0.07550335570469799	0.007407407407407408	0.13646532438478748	0.116331096196868	0.430327868852459	0.05145413870246085	0.06592501030078286	0.12896580140090647	0.11516275236918005	0.0434693036670787
54	47	47	9.25	1167	167	121	0	150	123	71	0.16308724832214766	61	2	18	23	6	2	3	5	0	15	4	28	2851	381	213	0	358	322	135	58	21	9	62	54	0.1036846615252785	0.0	0.12853470437017994	0.10539845758354756	0.5866666666666667	0.060839760068551844	0.07471062784987724	0.12556997544721152	0.11294282707821816	0.047351806383725006
55	48	48	10.214814814814817	1313	177	106	0	176	134	59	0.1685671789786812	53	4	34	23	2	7	1	7	0	5	4	37	2560	293	155	0	299	298	117	63	28	5	80	55	0.08073115003808073	0.0	0.13404417364813404	0.10205635948210205	0.5454545454545454	0.04493526275704494	0.060546875	0.116796875	0.11640625	0.045703125
56	99	99	3.772321428571429	850	103	83	0	108	108	53	0.0836953743930488	59	4	12	5	1	3	1	3	2	4	1	8	2948	353	173	0	352	345	157	37	16	4	51	56	0.0976470588235294	0.0	0.12705882352941175	0.12705882352941175	0.5277777777777778	0.06235294117647059	0.05868385345997286	0.11940298507462686	0.11702849389416553	0.053256445047489824
57	103	103	8.918547222855405	2061	235	168	1	257	313	122	0.16095206344651414	97	16	30	13	4	0	2	20	2	9	5	37	5995	739	350	1	742	779	332	82	31	10	134	57	0.08151382823871907	0.005952380952380952	0.12469674915089762	0.15186802523047063	0.4785992217898833	0.059194565744784086	0.058381984987489574	0.1237698081734779	0.1299416180150125	0.05537948290241868
58	162	162	4.7801459293394775	1302	153	113	1	182	161	69	0.13520285307455823	76	5	17	11	3	4	0	7	0	4	3	23	3970	500	257	1	502	436	190	53	27	5	97	58	0.08678955453149001	0.008849557522123894	0.13978494623655913	0.12365591397849462	0.46703296703296704	0.052995391705069124	0.06473551637279597	0.12644836272040302	0.10982367758186398	0.04785894206549118
60	56	56	7.657894736842105	1140	121	66	0	142	138	58	0.16031969910672308	41	4	32	5	1	0	1	6	2	4	2	23	3038	372	181	1	394	371	113	30	17	5	90	60	0.05789473684210526	0.0	0.12456140350877193	0.12105263157894737	0.36619718309859156	0.05087719298245614	0.05957867017774852	0.12969058591178406	0.12211981566820276	0.03719552337063858
