age	Unnamed: 0	Unnamed: 0.1	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	#parent_noun	#parent_determiner	#past	#present	#perfect	#untensed	age	%pronouns	%error	%verb	%noun	%verb_tensed	%determiner	%parent_pronouns	%parent_verb	%parent_noun	%parent_determiner
45	222	222	4.2139376218323585	2322	279	199	0	315	255	129	0.20854360165993033	131	25	32	18	6	1	0	0	0	0	18	48	2538	252	108	1	359	261	137	61	41	11	202	45	0.08570198105081826	0.0	0.13565891472868216	0.10981912144702842	0.35873015873015873	0.05555555555555555	0.0425531914893617	0.14144996059889678	0.10283687943262411	0.05397951142631994
46	390	390	4.085891696434696	3101	488	363	0	525	342	147	0.21599031680566322	256	25	76	29	6	14	1	5	2	21	4	49	5019	566	230	1	657	583	255	90	72	9	354	46	0.11705901322154144	0.0	0.16930022573363432	0.11028700419219607	0.32571428571428573	0.04740406320541761	0.04582586172544331	0.13090257023311416	0.11615859733014544	0.05080693365212194
47	246	246	4.473940211795054	2153	211	148	0	300	246	148	0.27335994948147047	98	19	35	10	0	7	2	5	2	3	2	28	1955	229	86	0	248	199	101	94	28	6	172	47	0.06874129122155133	0.0	0.13934045517882024	0.11425917324663261	0.4266666666666667	0.06874129122155133	0.043989769820971865	0.1268542199488491	0.10179028132992328	0.05166240409207161
48	342	342	4.346523060525837	3163	436	274	0	489	344	132	0.21228345267693433	174	12	76	27	2	23	17	11	0	4	4	86	4952	550	259	2	636	587	266	83	63	17	326	48	0.08662662029718622	0.0	0.1546000632311097	0.10875750869427758	0.3333333333333333	0.041732532405943726	0.05230210016155089	0.1284329563812601	0.11853796445880452	0.0537156704361874
49	267	267	4.475760039048219	3516	479	274	1	502	430	191	0.20147843521120215	163	44	118	28	3	8	5	10	1	8	4	87	1802	213	93	0	236	211	108	81	57	8	356	49	0.07792946530147896	0.0036496350364963502	0.1427758816837315	0.1222980659840728	0.2908366533864542	0.054323094425483505	0.05160932297447281	0.1309655937846837	0.11709211986681466	0.05993340732519423
50	370	370	4.817521706177459	3769	478	308	1	591	446	238	0.2020963325081643	192	28	91	34	4	11	8	26	0	3	2	79	4046	506	260	0	539	473	286	192	52	14	333	50	0.08171928893605732	0.003246753246753247	0.15680551870522685	0.1183337755372778	0.4365482233502538	0.06314672326877156	0.06426099851705389	0.13321799307958476	0.11690558576371725	0.07068709836875926
51	485	485	4.427717043379182	4831	523	276	1	605	626	312	0.18998338163288025	166	34	96	12	7	16	13	16	0	8	4	151	4811	650	372	2	667	569	258	115	53	3	434	51	0.05713102877251087	0.0036231884057971015	0.1252328710411923	0.12957979714344856	0.28264462809917357	0.06458290209066446	0.07732280191228434	0.13864061525670338	0.11827062980669299	0.05362710455206818
52	406	406	5.6129421431500655	3110	338	187	3	426	355	202	0.25404417993321504	131	22	49	8	0	6	3	3	0	10	4	102	1417	192	89	0	200	162	77	80	29	6	311	52	0.06012861736334405	0.016042780748663103	0.1369774919614148	0.11414790996784566	0.2699530516431925	0.06495176848874598	0.06280875088214538	0.14114326040931546	0.11432604093154553	0.05434015525758645
53	530	530	4.696782391928382	4661	488	283	0	630	642	339	0.21504217076426482	183	33	93	21	8	16	9	0	0	9	4	112	3740	453	231	1	515	442	223	107	48	11	464	53	0.06071658442394336	0.0	0.1351641278695559	0.13773868268611886	0.2634920634920635	0.07273117356790389	0.061764705882352944	0.13770053475935828	0.11818181818181818	0.05962566844919786
54	442	442	5.075864923358028	4588	597	347	2	676	498	272	0.1990949293623201	204	42	105	15	5	22	13	19	0	22	5	145	3314	396	188	2	455	390	195	119	53	12	492	54	0.07563208369659982	0.005763688760806916	0.14734088927637315	0.10854402789886661	0.27218934911242604	0.05928509154315606	0.056729028364514184	0.13729631864815933	0.11768255884127941	0.05884127942063971
55	458	458	4.710578737038241	3673	567	335	0	573	388	158	0.20143153386705293	240	34	130	19	5	12	8	9	0	2	6	102	3836	510	205	0	558	393	183	133	38	5	397	55	0.09120609855703785	0.0	0.15600326708412743	0.10563572011979308	0.30715532286212915	0.0430166076776477	0.05344108446298227	0.1454640250260688	0.1024504692387904	0.04770594369134515
56	474	474	5.81068637651964	4088	496	293	3	610	459	226	0.2144235150572933	190	19	77	12	11	22	8	21	3	3	4	126	3328	398	165	1	482	369	175	174	70	6	360	56	0.07167318982387476	0.010238907849829351	0.14921722113502936	0.112279843444227	0.4098360655737705	0.055283757338551856	0.04957932692307692	0.14483173076923078	0.11087740384615384	0.052584134615384616
57	366	366	5.95028346881843	2940	406	250	1	465	266	119	0.2108127169552719	164	19	40	18	6	5	6	9	0	16	7	116	2997	391	191	0	411	324	158	104	35	6	320	57	0.08503401360544217	0.004	0.15816326530612246	0.09047619047619047	0.3118279569892473	0.04047619047619048	0.06373039706373039	0.13713713713713713	0.10810810810810811	0.052719386052719384
58	375	375	5.424892972155576	2548	331	211	1	381	311	145	0.22014595950223803	122	24	46	14	16	9	5	11	0	4	6	74	1559	193	108	0	205	205	97	134	58	13	176	58	0.08281004709576138	0.004739336492890996	0.14952904238618525	0.12205651491365777	0.5380577427821522	0.05690737833594976	0.06927517639512508	0.13149454778704298	0.13149454778704298	0.062219371391917896
59	514	514	5.49349110826616	3306	398	275	2	445	366	200	0.22341255252263698	163	36	46	15	11	14	4	17	0	13	2	77	3265	389	193	0	433	395	213	125	66	13	241	59	0.08318209316394434	0.007272727272727273	0.13460375075620085	0.11070780399274047	0.4584269662921348	0.060496067755595885	0.05911179173047473	0.1326186830015314	0.12098009188361408	0.06523736600306279
60	530	530	4.612478919155469	3019	357	190	0	417	285	169	0.21016411347903938	126	20	69	3	3	10	7	11	0	8	2	98	3693	360	190	1	467	395	229	98	56	16	247	60	0.06293474660483604	0.0	0.13812520702219278	0.09440211990725406	0.407673860911271	0.055978800927459424	0.051448686704576224	0.1264554562686163	0.10695911183319794	0.062009206607094504
61	546	546	4.883256120251568	3612	479	233	2	519	373	198	0.20070432449633385	161	28	106	12	4	11	6	2	0	6	3	140	2148	254	107	0	289	256	116	110	57	6	346	61	0.06450719822812846	0.008583690987124463	0.143687707641196	0.10326688815060908	0.3333333333333333	0.054817275747508304	0.04981378026070764	0.13454376163873372	0.1191806331471136	0.054003724394785846
